from,site,path,target,proposed because,link texts,linked from
fr,fr,/gender-inclusion,/linclusion-des-genres,link text is its title,L’inclusion des genres,/donnes-ouvertes-et-valuation-des-progrs /donnes-ouvertes-et-valuation-des-progrs/cliquez-sur-une-section-pour-en-savoir-plusvaluer-les-besoins-rels
fr,fr,/implement,/mise-en-place-1,"English version / (score 9.5) links to /implement here, whose version is /mise-en-place-1 (score 4.0), check the versions",Mise en place,/ /votre-trajet-de-la-mise-en-place
fr,fr,/life-cycle-costing,/le-cot-du-cycle-de-vie,link text is its title,Le coût du cycle de vie,/donnes-ouvertes-et-valuation-des-progrs /donnes-ouvertes-et-valuation-des-progrs/cliquez-sur-une-section-pour-en-savoir-plusvaluer-les-besoins-rels
fr,fr,/monitor-implementation,/suivi-de-lexcution,link text is its title,Suivi de l’exécution,/mise-en-place-1 /mise-en-place-1/cliquez-sur-une-section-pour-en-savoir-plus
fr,fr,/monitoring-evaluation,/suivi-et-valuation,link text is its title,Suivi et évaluation,/planification /planification/cliquez-sur-une-section-pour-en-savoir-plus
fr,fr,/options-for-data-use,/possibilits-dutilisation-des-donnes,"English version /open-data-measuring-progress/click-through-to-learn-more (score 6.38) links to /options-for-data-use here, whose version is /possibilits-dutilisation-des-donnes (score 10.99)",D’utilisation des données | Table des possibilités d’utilisation des données,/donnes-ouvertes-et-valuation-des-progrs /donnes-ouvertes-et-valuation-des-progrs/cliquez-sur-une-section-pour-en-savoir-plusvaluer-les-besoins-rels /ressources-pratiques
fr,fr,/options-for-data-use/table-of-options-for-data-use,/possibilits-dutilisation-des-donnes,reviewed,Option 2: Boost performance to policy through alerts | See Option 2: Boost performance to policy through alerts,/ladoption-des-pratiques-durables /suivi-et-valuation/modle-de-cadre-de-suivi-et-dvaluation
fr,fr,/plan,/planification,link text is its title,Planification,/ /votre-trajet-de-la-mise-en-place
fr,fr,/prepare-contract-obligations,/obligations-contractuelles,link text is its title,Obligations contractuelles,/mise-en-place-1 /mise-en-place-1/cliquez-sur-une-section-pour-en-savoir-plus
fr,fr,/prioritize,/priorits,link text is its title,Priorités,/planification /planification/cliquez-sur-une-section-pour-en-savoir-plus
fr,fr,/sector-guidance,/orientations-sectorielles,link text is its title,Orientations sectorielles,/ /votre-trajet-de-la-mise-en-place
fr,fr,/set-sustainability-criteria,/des-critres-de-durabilit,link text is its title,Des critères de durabilité,/mise-en-place-1 /mise-en-place-1/cliquez-sur-une-section-pour-en-savoir-plus
fr,fr,/spp-uptake,/ladoption-des-pratiques-durables,link text is its title,L’adoption des pratiques durables,/donnes-ouvertes-et-valuation-des-progrs /donnes-ouvertes-et-valuation-des-progrs/cliquez-sur-une-section-pour-en-savoir-plusvaluer-les-besoins-rels
fr,fr,/use-cases,/donnes-ouvertes-et-valuation-des-progrs,"English version / (score 9.5) links to /open-data-measuring-progress here, whose version is /donnes-ouvertes-et-valuation-des-progrs (score 8.19)",Données ouvertes et évaluation,/ /votre-trajet-de-la-mise-en-place
